SMILES1,SMILES2
CC1(C)C(NC1=O)S(=O)(=O)c1ccccc1,CC1C(NC1=O)S(=O)(=O)c1ccccc1
Oc1cccc(O)c1,c1cc(ccn1)C=Cc1ccncc1
Oc1cccc(O)c1,c1cc(ccn1)C1C(C(C1c1ccncc1)c1ccncc1)c1ccncc1
COc1cc(O)cc(O)c1,c1cc(ccn1)C=Cc1ccncc1
Oc1cccc(O)c1,c1ccc(C=Cc2ccccn2)nc1
CC1=NC=C(N1CCO)N(=O)=O,CCOC(=O)c1cc(O)c(O)c(O)c1
NC(=O)N1c2ccccc2C=Cc2ccccc12,Oc1ccc(O)cc1
NC(=O)CN1CCCC1=O,Oc1ccc(O)cc1
COC(=O)C1=C(C)NC(=O)NC1c1ccc(O)cc1,Fc1c(F)c(I)c(F)c(F)c1I
COC(=O)C1=C(C)NC(=O)NC1c1ccc(cc1)N(=O)=O,Fc1c(F)c(I)c(F)c(F)c1I
COC(=O)C1=C(C)NC(=S)NC1c1ccccc1Cl,Fc1c(F)c(I)c(F)c(F)c1I
CCOC(=O)C1=C(C)NC(=O)NC1c1ccc(O)cc1,OC(=O)c1cccc(c1)N(=O)=O
OC1=C(Cl)C(=O)C(=C(Cl)C1=O)O,c1ccc(nc1)C#Cc1ccccn1
NC(=O)c1cccnc1,OC(=O)c1cc2ccccc2cc1O
O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,c1ccc2c(c1)ccc1ccc3ccc4ccc5ccccc5c4c3c21
OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,c1ccc2c(c1)ccc1ccc3ccc4ccc5ccccc5c4c3c21
N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,c1ccc2c(c1)ccc1ccc3ccc4ccc5ccccc5c4c3c21
OC(=O)c1cc(cc(c1)N(=O)=O)C(O)=O,c1ccc2c(c1)ccc1ccccc21
CN1N=NC2=C(N=CN2C1=O)C(N)=O,COC(=O)N1C=NC(=C1N)C(N)=O
CN1N=NC2=C(N=CN2C1=O)C(N)=O,Nc1ccccc1C(O)=O
CN1N=NC2=C(N=CN2C1=O)C(N)=O,OC(C(O)C(O)=O)C(O)=O
CN1N=NC2=C(N=CN2C1=O)C(N)=O,OC(=O)C(O)=O
CN1N=NC2=C(N=CN2C1=O)C(N)=O,OC(=O)CCC(O)=O
CN1N=NC2=C(N=CN2C1=O)C(N)=O,OC(=O)c1ccccc1O
C1Cc2cccc3cccc1c23,ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl
C1Cc2cccc3cccc1c23,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
Brc1ccc(Br)c2N=C(Nc12)c1ccc(cc1)C1=Nc2c(Br)ccc(Br)c2N1,C1COCCOCCOCCOCCOCCOCCOCCO1
OC(=O)c1cccc2cccc(C(O)=O)c12,c1ccc(C=Cc2ccccn2)nc1
OC(=O)c1cccc2cccc(C(O)=O)c12,c1cc(ccn1)C1C(C(C1c1ccncc1)c1ccncc1)c1ccncc1
O=C1NC=CC=C1,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)O
NC(=O)c1ccncc1,OC(=O)C1CC1
NC(=O)c1ccncc1,OC(=O)C1CCC1
NC(=O)c1ccncc1,OC(=O)C1CCCCC1
NC(=O)c1cnccn1,OC(=O)c1cc(O)cc(O)c1
COc1cc(C=CC(O)=O)ccc1O,NC(=O)c1cnccn1
C(Cc1ccncc1)c1ccncc1,Oc1cccc(O)c1
C(Cc1ccncc1)c1ccncc1,Oc1ccc(Cl)c(O)c1
NNC(=O)c1ccncc1,OC(=O)c1ccc(cc1)C#N
NNC(=O)c1ccncc1,Nc1ccc(cc1)C(O)=O
NNC(=O)c1ccncc1,OC(=O)c1ccc(cc1)N(=O)=O
C1CCC(CC1)NC1CCCCC1,ON=C1CCCCC1
Cc1cc[n+]([O-])cc1,O=C1NS(=O)(=O)c2ccccc12
Cc1cc(C)nc(N)n1,OC(=O)c1ccc(O)cc1
CCN1C=NC2=C1N=CN=C2N,CSCOC(=O)C1(C)CC2(C)CC(C)(C1)C(=O)NC2=O
CC1(CCC2C(=CCC3C(C)(CO)C(O)CCC23C)C1)C=C,CC1(CO)C(O)CCC2(C)C1CCC13CC4C(CC21)C4(C)C3
BrC1=CNC(=O)NC1=O,Nc1ncnc2N(C=Nc12)C1OC(CO)C(O)C1O
N#Cc1ccc(C=Cc2ccc(cc2)C#N)cc1,Oc1cccc(O)c1
CN(C)c1ccc(cc1)N=Nc1ccccc1C(O)=O,OC(=O)c1cc(cc(c1)C(O)=O)C(O)=O
CN1C(=CC(=O)NC1=O)C,Cc1nc(N)nc(N)n1
CC(c1ccc(O)cc1)(c1ccc(O)cc1)c1ccc(O)cc1,c1ccc(nc1)c1ccccn1
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,OC(=O)c1cc(F)c(F)c(F)c1F
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,OC(=O)c1c(F)cccc1F
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,OC(=O)c1cc(F)ccc1F
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,OC(=O)c1cccc(F)c1F
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,OC(=O)c1cccc(F)c1
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,OC(=O)c1ccccc1F
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,OC(=O)c1ccccc1
C1CNCCN1,Oc1ccc(cc1)N(=O)=O
CC(=O)Nc1ccc(cc1)C(O)=O,NC(=O)N1c2ccccc2C=Cc2ccccc12
